1,Thief II: The Metal Age,Shooter
1,Thief II: The Metal Age,Simulator
1,Thief II: The Metal Age,Adventure
2,Thief: The Dark Project,Shooter
2,Thief: The Dark Project,Sport
3,Thief: Deadly Shadows,Shooter
4,Thief,Shooter
4,Thief,Adventure
5,Baldur's Gate,Role-playing (RPG)
6,Baldur's Gate II: Shadows of Amn,Role-playing (RPG)
9,Jagged Alliance 2,Role-playing (RPG)
9,Jagged Alliance 2,Strategy
9,Jagged Alliance 2,Turn-based strategy (TBS)
9,Jagged Alliance 2,Tactical
9,Jagged Alliance 2,Adventure
10,Jade Empire: Special Edition,Role-playing (RPG)
10,Jade Empire: Special Edition,Adventure
11,Vampire: The Masquerade - Bloodlines,Role-playing (RPG)
12,Vampire: The Masquerade - Redemption,Role-playing (RPG)
12,Vampire: The Masquerade - Redemption,Adventure
13,Fallout,Role-playing (RPG)
13,Fallout,Turn-based strategy (TBS)
14,Fallout 2,Role-playing (RPG)
14,Fallout 2,Turn-based strategy (TBS)
15,Fallout 3,Shooter
15,Fallout 3,Role-playing (RPG)
16,Fallout: New Vegas,Shooter
16,Fallout: New Vegas,Role-playing (RPG)
17,Fallout Tactics: Brotherhood of Steel,Role-playing (RPG)
17,Fallout Tactics: Brotherhood of Steel,Strategy
17,Fallout Tactics: Brotherhood of Steel,Turn-based strategy (TBS)
17,Fallout Tactics: Brotherhood of Steel,Tactical
18,Max Payne,Shooter
19,Max Payne 2: The Fall of Max Payne,Shooter
20,BioShock,Shooter
20,BioShock,Role-playing (RPG)
21,BioShock 2,Shooter
21,BioShock 2,Role-playing (RPG)
21,BioShock 2,Adventure
22,System Shock 2,Shooter
22,System Shock 2,Role-playing (RPG)
24,X-COM: UFO Defense,Strategy
24,X-COM: UFO Defense,Turn-based strategy (TBS)
24,X-COM: UFO Defense,Tactical
25,X-COM: Terror From The Deep,Strategy
25,X-COM: Terror From The Deep,Turn-based strategy (TBS)
25,X-COM: Terror From The Deep,Tactical
26,X-COM: Apocalypse,Real Time Strategy (RTS)
26,X-COM: Apocalypse,Strategy
26,X-COM: Apocalypse,Turn-based strategy (TBS)
26,X-COM: Apocalypse,Tactical
